keys,en,de,es,fr,id,it,ja,ko,pl,pt_BR,ru,vi,zh
ui_new_campaign,New Campaign,Neue Kampagne,Nueva campaña,Nouvelle campagne,Kampanye baru,Nuova campagna.,新しいキャンペーン,새로운 캠페인,Nowa kampania,Nova campanha,Новая кампания,Chien dich moi,新竞选人员
ui_load_game,Load Game,Spiel laden,Juego de carga,Chargement du jeu,Muatkan game,Caricare il gioco,ロードゲーム,로드 게임,Wczytaj grę,Carregar jogo,Загрузить игру,Tải trò chơi,加载游戏
ui_settings,Settings,Einstellungen,Ajustes,Paramètres,Pengaturan,Impostazioni,設定,설정,Ustawienia,Definições,Настройки,Cài đặt,设置
ui_campaign_manager,Campaign Manager,Kampagnen-Manager,Director de campaña,Directeur de campagne,Manajer Kampanye,Gestore della campagna,キャンペーンマネージャー,캠페인 관리자,Menadżer kampanii,Gerente de campanha,Менеджер кампании,Quản lý chiến dịch,竞选经理
ui_credits,Credits,Kreditschriften,Créditos,Crédits,Kredit,Titoli di coda,クレジット,크레딧,Kredyty,Créditos,Кредиты,Tín dụng,学分
ui_exit_desktop,Exit to Desktop,Beenden Sie den Desktop,Salida al escritorio,Sortie sur le bureau,Keluar ke desktop,Esci dal desktop.,デスクトップを終了します,바탕 화면을 종료하십시오,Wyjdź na pulpit.,Saia para a área de trabalho,Выход на рабочий стол,Thoát khỏi máy tính để bàn.,退出到桌面
ui_copy_to_clipboard,Copy to Clipboard,In die Zwischenablage kopieren,Copiar al portapapeles,Copier dans le presse-papier,Menyalin ke clipboard,Copia negli appunti,クリップボードにコピー,클립 보드에 복사,Skopiuj do schowka,Copiar para área de transferência,Скопировать в буфер обмена,Sao chép vào clipboard,复制到剪贴板
ui_edit,Edit,Bearbeiten,Editar,Éditer,Edit,Modificare,編集,편집하다,Edytować,Editar,Редактировать,Chỉnh sửa,编辑
ui_delete,Delete,Löschen,Borrar,Effacer,Menghapus,Elimina,消去,삭제,Kasować,Excluir,Удалить,Xóa bỏ,删除
ui_import_from_clipboard,Import from Clipboard,Import aus der Zwischenablage,Importar desde Portapapeles,Importation de presse-papiers,Impor dari Clipboard,Importa dagli Appunti,クリップボードからのインポート,클립 보드에서 가져 오기,Import ze schowka,Importar da área de transferência,Импорт из буфера обмена,Nhập từ clipboard.,从剪贴板导入
ui_back,Back,Zurück,atrás,Arrière,Kembali,Di ritorno,戻る,뒤,Plecy,Voltar,Назад,Mặt sau,后退
